Title,Description,Labels
Build a mini-project manipulating the DOM.,"**Date:** 2024-11-23
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** JavaScript Essentials",Core Foundations in JavaScript & TypeScript
Learn async JavaScript using Promises and async/await.,"**Date:** 2024-11-23
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** JavaScript Essentials",Core Foundations in JavaScript & TypeScript
"Review ES6+ syntax (let, const, template literals).","**Date:** 2024-11-24
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** JavaScript Essentials",Core Foundations in JavaScript & TypeScript
"Practice destructuring, spread/rest operators.","**Date:** 2024-11-24
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** JavaScript Essentials",Core Foundations in JavaScript & TypeScript
Build a mini-project manipulating the DOM.,"**Date:** 2024-11-24
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** JavaScript Essentials",Core Foundations in JavaScript & TypeScript
Learn async JavaScript using Promises and async/await.,"**Date:** 2024-11-24
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** JavaScript Essentials",Core Foundations in JavaScript & TypeScript
"Review ES6+ syntax (let, const, template literals).","**Date:** 2024-11-25
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** JavaScript Essentials",Core Foundations in JavaScript & TypeScript
"Practice destructuring, spread/rest operators.","**Date:** 2024-11-25
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** JavaScript Essentials",Core Foundations in JavaScript & TypeScript
Build a mini-project manipulating the DOM.,"**Date:** 2024-11-25
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** JavaScript Essentials",Core Foundations in JavaScript & TypeScript
Learn async JavaScript using Promises and async/await.,"**Date:** 2024-11-25
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** JavaScript Essentials",Core Foundations in JavaScript & TypeScript
"Review ES6+ syntax (let, const, template literals).","**Date:** 2024-11-26
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** JavaScript Essentials",Core Foundations in JavaScript & TypeScript
"Practice destructuring, spread/rest operators.","**Date:** 2024-11-26
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** JavaScript Essentials",Core Foundations in JavaScript & TypeScript
Build a mini-project manipulating the DOM.,"**Date:** 2024-11-26
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** JavaScript Essentials",Core Foundations in JavaScript & TypeScript
Learn async JavaScript using Promises and async/await.,"**Date:** 2024-11-26
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** JavaScript Essentials",Core Foundations in JavaScript & TypeScript
"Learn core TypeScript concepts: types, interfaces, and enums.","**Date:** 2024-11-27
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
Write type-safe functions and classes.,"**Date:** 2024-11-27
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
Integrate TypeScript with JavaScript libraries.,"**Date:** 2024-11-27
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
Convert JavaScript projects into TypeScript.,"**Date:** 2024-11-27
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
"Learn core TypeScript concepts: types, interfaces, and enums.","**Date:** 2024-11-28
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
Write type-safe functions and classes.,"**Date:** 2024-11-28
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
Integrate TypeScript with JavaScript libraries.,"**Date:** 2024-11-28
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
Convert JavaScript projects into TypeScript.,"**Date:** 2024-11-28
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
"Learn core TypeScript concepts: types, interfaces, and enums.","**Date:** 2024-11-29
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
Write type-safe functions and classes.,"**Date:** 2024-11-29
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
Integrate TypeScript with JavaScript libraries.,"**Date:** 2024-11-29
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
Convert JavaScript projects into TypeScript.,"**Date:** 2024-11-29
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
"Learn core TypeScript concepts: types, interfaces, and enums.","**Date:** 2024-11-30
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
Write type-safe functions and classes.,"**Date:** 2024-11-30
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
Integrate TypeScript with JavaScript libraries.,"**Date:** 2024-11-30
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
Convert JavaScript projects into TypeScript.,"**Date:** 2024-11-30
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
"Learn core TypeScript concepts: types, interfaces, and enums.","**Date:** 2024-12-01
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
Write type-safe functions and classes.,"**Date:** 2024-12-01
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
Integrate TypeScript with JavaScript libraries.,"**Date:** 2024-12-01
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
Convert JavaScript projects into TypeScript.,"**Date:** 2024-12-01
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
"Learn core TypeScript concepts: types, interfaces, and enums.","**Date:** 2024-12-02
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
Write type-safe functions and classes.,"**Date:** 2024-12-02
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
Integrate TypeScript with JavaScript libraries.,"**Date:** 2024-12-02
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
Convert JavaScript projects into TypeScript.,"**Date:** 2024-12-02
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
"Learn core TypeScript concepts: types, interfaces, and enums.","**Date:** 2024-12-03
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
Write type-safe functions and classes.,"**Date:** 2024-12-03
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
Integrate TypeScript with JavaScript libraries.,"**Date:** 2024-12-03
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
Convert JavaScript projects into TypeScript.,"**Date:** 2024-12-03
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** TypeScript Basics",Core Foundations in JavaScript & TypeScript
"Install and configure Node.js, npm, and Webpack.","**Date:** 2024-12-04
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
"Learn Git basics: branching, merging, and resolving conflicts.","**Date:** 2024-12-04
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
Practice committing and pushing code to GitHub.,"**Date:** 2024-12-04
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
Set up a reusable starter project template.,"**Date:** 2024-12-04
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
"Install and configure Node.js, npm, and Webpack.","**Date:** 2024-12-05
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
"Learn Git basics: branching, merging, and resolving conflicts.","**Date:** 2024-12-05
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
Practice committing and pushing code to GitHub.,"**Date:** 2024-12-05
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
Set up a reusable starter project template.,"**Date:** 2024-12-05
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
"Install and configure Node.js, npm, and Webpack.","**Date:** 2024-12-06
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
"Learn Git basics: branching, merging, and resolving conflicts.","**Date:** 2024-12-06
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
Practice committing and pushing code to GitHub.,"**Date:** 2024-12-06
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
Set up a reusable starter project template.,"**Date:** 2024-12-06
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
"Install and configure Node.js, npm, and Webpack.","**Date:** 2024-12-07
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
"Learn Git basics: branching, merging, and resolving conflicts.","**Date:** 2024-12-07
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
Practice committing and pushing code to GitHub.,"**Date:** 2024-12-07
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
Set up a reusable starter project template.,"**Date:** 2024-12-07
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
"Install and configure Node.js, npm, and Webpack.","**Date:** 2024-12-08
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
"Learn Git basics: branching, merging, and resolving conflicts.","**Date:** 2024-12-08
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
Practice committing and pushing code to GitHub.,"**Date:** 2024-12-08
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
Set up a reusable starter project template.,"**Date:** 2024-12-08
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
"Install and configure Node.js, npm, and Webpack.","**Date:** 2024-12-09
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
"Learn Git basics: branching, merging, and resolving conflicts.","**Date:** 2024-12-09
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
Practice committing and pushing code to GitHub.,"**Date:** 2024-12-09
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
Set up a reusable starter project template.,"**Date:** 2024-12-09
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
"Install and configure Node.js, npm, and Webpack.","**Date:** 2024-12-10
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
"Learn Git basics: branching, merging, and resolving conflicts.","**Date:** 2024-12-10
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
Practice committing and pushing code to GitHub.,"**Date:** 2024-12-10
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
Set up a reusable starter project template.,"**Date:** 2024-12-10
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Build Tools & Git",Core Foundations in JavaScript & TypeScript
Install and configure Jest.,"**Date:** 2024-12-11
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Write basic unit tests for functions.,"**Date:** 2024-12-11
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Test asynchronous code with mock functions.,"**Date:** 2024-12-11
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Add tests to your previous mini-projects.,"**Date:** 2024-12-11
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Install and configure Jest.,"**Date:** 2024-12-12
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Write basic unit tests for functions.,"**Date:** 2024-12-12
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Test asynchronous code with mock functions.,"**Date:** 2024-12-12
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Add tests to your previous mini-projects.,"**Date:** 2024-12-12
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Install and configure Jest.,"**Date:** 2024-12-13
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Write basic unit tests for functions.,"**Date:** 2024-12-13
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Test asynchronous code with mock functions.,"**Date:** 2024-12-13
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Add tests to your previous mini-projects.,"**Date:** 2024-12-13
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Install and configure Jest.,"**Date:** 2024-12-14
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Write basic unit tests for functions.,"**Date:** 2024-12-14
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Test asynchronous code with mock functions.,"**Date:** 2024-12-14
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Add tests to your previous mini-projects.,"**Date:** 2024-12-14
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Install and configure Jest.,"**Date:** 2024-12-15
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Write basic unit tests for functions.,"**Date:** 2024-12-15
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Test asynchronous code with mock functions.,"**Date:** 2024-12-15
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Add tests to your previous mini-projects.,"**Date:** 2024-12-15
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Install and configure Jest.,"**Date:** 2024-12-16
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Write basic unit tests for functions.,"**Date:** 2024-12-16
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Test asynchronous code with mock functions.,"**Date:** 2024-12-16
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Add tests to your previous mini-projects.,"**Date:** 2024-12-16
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Install and configure Jest.,"**Date:** 2024-12-17
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Write basic unit tests for functions.,"**Date:** 2024-12-17
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Test asynchronous code with mock functions.,"**Date:** 2024-12-17
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Add tests to your previous mini-projects.,"**Date:** 2024-12-17
**Module:** Core Foundations in JavaScript & TypeScript
**Topic:** Introduction to Testing",Core Foundations in JavaScript & TypeScript
Learn about JSX and functional components.,"**Date:** 2024-12-18
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Practice passing props and managing state.,"**Date:** 2024-12-18
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Build a Weather App fetching data from an API.,"**Date:** 2024-12-18
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Understand React lifecycle methods.,"**Date:** 2024-12-18
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Learn about JSX and functional components.,"**Date:** 2024-12-19
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Practice passing props and managing state.,"**Date:** 2024-12-19
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Build a Weather App fetching data from an API.,"**Date:** 2024-12-19
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Understand React lifecycle methods.,"**Date:** 2024-12-19
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Learn about JSX and functional components.,"**Date:** 2024-12-20
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Practice passing props and managing state.,"**Date:** 2024-12-20
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Build a Weather App fetching data from an API.,"**Date:** 2024-12-20
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Understand React lifecycle methods.,"**Date:** 2024-12-20
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Learn about JSX and functional components.,"**Date:** 2024-12-21
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Practice passing props and managing state.,"**Date:** 2024-12-21
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Build a Weather App fetching data from an API.,"**Date:** 2024-12-21
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Understand React lifecycle methods.,"**Date:** 2024-12-21
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Learn about JSX and functional components.,"**Date:** 2024-12-22
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Practice passing props and managing state.,"**Date:** 2024-12-22
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Build a Weather App fetching data from an API.,"**Date:** 2024-12-22
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Understand React lifecycle methods.,"**Date:** 2024-12-22
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Learn about JSX and functional components.,"**Date:** 2024-12-23
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Practice passing props and managing state.,"**Date:** 2024-12-23
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Build a Weather App fetching data from an API.,"**Date:** 2024-12-23
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Understand React lifecycle methods.,"**Date:** 2024-12-23
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Learn about JSX and functional components.,"**Date:** 2024-12-24
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Practice passing props and managing state.,"**Date:** 2024-12-24
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Build a Weather App fetching data from an API.,"**Date:** 2024-12-24
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Understand React lifecycle methods.,"**Date:** 2024-12-24
**Module:** React Basics
**Topic:** React Fundamentals",React Basics
Learn CSS-in-JS using Styled Components or Emotion.,"**Date:** 2024-12-25
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Set up React Router for navigation.,"**Date:** 2024-12-25
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Add dynamic routes to the Weather App.,"**Date:** 2024-12-25
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Implement responsive design principles.,"**Date:** 2024-12-25
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Learn CSS-in-JS using Styled Components or Emotion.,"**Date:** 2024-12-26
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Set up React Router for navigation.,"**Date:** 2024-12-26
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Add dynamic routes to the Weather App.,"**Date:** 2024-12-26
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Implement responsive design principles.,"**Date:** 2024-12-26
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Learn CSS-in-JS using Styled Components or Emotion.,"**Date:** 2024-12-27
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Set up React Router for navigation.,"**Date:** 2024-12-27
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Add dynamic routes to the Weather App.,"**Date:** 2024-12-27
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Implement responsive design principles.,"**Date:** 2024-12-27
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Learn CSS-in-JS using Styled Components or Emotion.,"**Date:** 2024-12-28
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Set up React Router for navigation.,"**Date:** 2024-12-28
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Add dynamic routes to the Weather App.,"**Date:** 2024-12-28
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Implement responsive design principles.,"**Date:** 2024-12-28
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Learn CSS-in-JS using Styled Components or Emotion.,"**Date:** 2024-12-29
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Set up React Router for navigation.,"**Date:** 2024-12-29
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Add dynamic routes to the Weather App.,"**Date:** 2024-12-29
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Implement responsive design principles.,"**Date:** 2024-12-29
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Learn CSS-in-JS using Styled Components or Emotion.,"**Date:** 2024-12-30
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Set up React Router for navigation.,"**Date:** 2024-12-30
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Add dynamic routes to the Weather App.,"**Date:** 2024-12-30
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Implement responsive design principles.,"**Date:** 2024-12-30
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Learn CSS-in-JS using Styled Components or Emotion.,"**Date:** 2024-12-31
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Set up React Router for navigation.,"**Date:** 2024-12-31
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Add dynamic routes to the Weather App.,"**Date:** 2024-12-31
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Implement responsive design principles.,"**Date:** 2024-12-31
**Module:** React Basics
**Topic:** React Styling & Routing",React Basics
Learn the Context API for managing global state.,"**Date:** 2025-01-01
**Module:** React Basics
**Topic:** State Management",React Basics
Understand Redux and compare it with Context API.,"**Date:** 2025-01-01
**Module:** React Basics
**Topic:** State Management",React Basics
Refactor projects to use global state management.,"**Date:** 2025-01-01
**Module:** React Basics
**Topic:** State Management",React Basics
Build a Shopping Cart App with state management.,"**Date:** 2025-01-01
**Module:** React Basics
**Topic:** State Management",React Basics
Learn the Context API for managing global state.,"**Date:** 2025-01-02
**Module:** React Basics
**Topic:** State Management",React Basics
Understand Redux and compare it with Context API.,"**Date:** 2025-01-02
**Module:** React Basics
**Topic:** State Management",React Basics
Refactor projects to use global state management.,"**Date:** 2025-01-02
**Module:** React Basics
**Topic:** State Management",React Basics
Build a Shopping Cart App with state management.,"**Date:** 2025-01-02
**Module:** React Basics
**Topic:** State Management",React Basics
Learn the Context API for managing global state.,"**Date:** 2025-01-03
**Module:** React Basics
**Topic:** State Management",React Basics
Understand Redux and compare it with Context API.,"**Date:** 2025-01-03
**Module:** React Basics
**Topic:** State Management",React Basics
Refactor projects to use global state management.,"**Date:** 2025-01-03
**Module:** React Basics
**Topic:** State Management",React Basics
Build a Shopping Cart App with state management.,"**Date:** 2025-01-03
**Module:** React Basics
**Topic:** State Management",React Basics
Learn the Context API for managing global state.,"**Date:** 2025-01-04
**Module:** React Basics
**Topic:** State Management",React Basics
